epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,272.332,0.88205,0.63027,0.87318,0.95392,0.92517,0.97004,0.62722,0.95635,0.59801,0.87458,0.0011684,0.0011684,0.0011684
44,275.282,0.88441,0.59562,0.8666,0.96431,0.91906,0.97083,0.63299,0.96735,0.59775,0.88048,0.0011486,0.0011486,0.0011486
45,283.819,0.9128,0.60786,0.88918,0.97155,0.92917,0.98481,0.6533,0.93159,0.56538,0.87781,0.0011288,0.0011288,0.0011288
46,285.719,0.89955,0.61471,0.88419,0.97766,0.95238,0.98961,0.64466,0.99733,0.55246,0.89444,0.001109,0.001109,0.001109
47,296.894,0.8888,0.60369,0.88672,0.95338,0.95238,0.98551,0.66249,0.93284,0.53881,0.87991,0.0010892,0.0010892,0.0010892
48,298.816,0.92104,0.60977,0.88179,0.98155,0.96599,0.99002,0.66302,0.93235,0.53861,0.87246,0.0010694,0.0010694,0.0010694
49,310.127,0.95587,0.61152,0.9045,0.97931,0.96617,0.98446,0.62198,1.1317,0.55849,0.91038,0.0010496,0.0010496,0.0010496
50,311.773,0.91875,0.61402,0.88996,0.97953,0.97644,0.99318,0.64036,1.07024,0.55907,0.89675,0.0010298,0.0010298,0.0010298
51,322.825,0.90286,0.6104,0.87111,0.96575,0.95909,0.98738,0.67016,0.90469,0.54124,0.86211,0.00101,0.00101,0.00101
52,324.952,0.96719,0.60513,0.89105,0.97221,0.95207,0.98484,0.66798,0.90851,0.53739,0.86645,0.0009902,0.0009902,0.0009902
53,335.376,0.88209,0.57476,0.87212,0.99295,0.95834,0.99107,0.6586,0.93483,0.52879,0.87427,0.0009704,0.0009704,0.0009704
54,337.387,0.86532,0.5681,0.88155,0.9821,0.95238,0.99123,0.68113,0.90518,0.52715,0.86871,0.0009506,0.0009506,0.0009506
55,347.125,0.90825,0.58114,0.88701,0.98789,0.95238,0.99242,0.67141,0.97379,0.5389,0.8792,0.0009308,0.0009308,0.0009308
56,349.072,0.91187,0.56611,0.87826,0.9902,0.95918,0.99274,0.67287,0.91687,0.53961,0.86411,0.000911,0.000911,0.000911
57,357.277,0.94012,0.57684,0.88578,0.98605,0.95918,0.99289,0.68233,0.85697,0.54152,0.85538,0.0008912,0.0008912,0.0008912
58,360.127,0.92078,0.57362,0.89087,0.99204,0.97959,0.99371,0.67109,0.86084,0.52812,0.85587,0.0008714,0.0008714,0.0008714
59,368.746,0.86329,0.5675,0.86218,0.9825,0.97279,0.98452,0.64082,0.95001,0.51405,0.87017,0.0008516,0.0008516,0.0008516
60,370.684,0.87704,0.55093,0.87025,0.97969,0.9844,0.99404,0.62998,1.05975,0.52049,0.89511,0.0008318,0.0008318,0.0008318
61,381.765,0.865,0.55453,0.87248,0.98631,0.98016,0.99452,0.65214,1.00712,0.50898,0.88806,0.000812,0.000812,0.000812
62,383.828,0.88008,0.56657,0.87689,0.99657,0.97279,0.99447,0.66497,1.00187,0.50526,0.88725,0.0007922,0.0007922,0.0007922
63,394.424,0.8645,0.55964,0.87265,0.99591,0.97279,0.9944,0.68688,0.90503,0.4881,0.86696,0.0007724,0.0007724,0.0007724
